file,gameName,stateClass,status,moves,durationMs,error
Deka,Deka,DekaState,OK,4,52,
Dongjintian,Dongjintian,DongjintianState,OK,74,78,
Duene,Duene,DueneState,OK,231,55,
En Gehe,En Gehe,EnGeheState,OK,521,60,
English Wari (St. Lucia),English Wari (St. Lucia),EnglishWariStLuciaState,OK,64,36,
Enindji,Enindji,EnindjiState,PLAYOUT_FAIL,0,42,NullPointerException: Cannot invoke "gnu.trove.list.array.TIntArrayList.contains(int)" because the return value of "other.state.State.propositions()" is null
Erherhe,Erherhe,?,START_FAIL,0,42,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
FairKalah,FairKalah,FairKalahState,OK,43,53,
Fergen Gobale,Fergen Gobale,?,START_FAIL,0,94,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Foji,Foji,FojiState,PLAYOUT_FAIL,0,37,NullPointerException: Cannot invoke "gnu.trove.list.array.TIntArrayList.contains(int)" because the return value of "other.state.State.propositions()" is null
Fondji,Fondji,FondjiState,PLAYOUT_FAIL,0,91,NullPointerException: Cannot invoke "gnu.trove.list.array.TIntArrayList.contains(int)" because the return value of "other.state.State.propositions()" is null
French Wari,French Wari,FrenchWariState,OK,47,38,
Gabata (Adegrat),Gabata (Adegrat),?,START_FAIL,0,40,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Gabata (Ansaba),Gabata (Ansaba),GabataAnsabaState,OK,295,44,
Gabata (Ghinda),Gabata (Ghinda),?,START_FAIL,0,50,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Gabata (Oromo),Gabata (Oromo),GabataOromoState,MOVE_LIMIT,5000,111,exceeded 5000 moves
Gabata (Shoa and Adegrat),Gabata (Shoa and Adegrat),?,START_FAIL,0,69,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Gabata (Shoa I),Gabata (Shoa I),?,START_FAIL,0,60,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Gabata (Wuqro),Gabata (Wuqro),?,START_FAIL,0,55,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Galatjang,Galatjang,?,START_FAIL,0,72,NullPointerException: Cannot invoke "main.collections.FastTIntArrayList.add(int)" because the return value of "other.state.State.rememberingValues()" is null
Gamacha (Nobility),Gamacha (Nobility),GamachaNobilityState,OK,133,41,
Gamacha,Gamacha,GamachaState,OK,74,38,
Gifia,Gifia,GifiaState,OK,2500,107,
Halusa,Halusa,HalusaState,OK,2500,83,
Hoyito,Hoyito,HoyitoState,OK,92,25,
Hufesay,Hufesay,?,START_FAIL,0,67,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
I Pere,I Pere,IPereState,OK,35,29,
I,I,IState,OK,23,21,
Intotoi,Intotoi,IntotoiState,OK,61,152,
Iyogh,Iyogh,IyoghState,OK,1923,257,
J'erin,J'erin,?,START_FAIL,0,57,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
J'odu,J'odu,JOduState,OK,173,51,
Jimafesosh,Jimafesosh,?,START_FAIL,0,69,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Kalah,Kalah,KalahState,OK,43,40,
Kanji Guti,Kanji Guti,KanjiGutiState,OK,158,40,
Kapana Bona,Kapana Bona,KapanaBonaState,OK,18,29,
Kara,Kara,KaraState,OK,48,33,
Katrayo,Katrayo,KatrayoState,OK,21,47,
Kay,Kay,KayState,OK,68,26,
Khrour,Khrour,?,START_FAIL,0,42,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Khutka Boia,Khutka Boia,?,START_FAIL,0,58,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Kiuthi,Kiuthi,?,START_FAIL,0,157,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Koro,Koro,KoroState,OK,700,37,
Kotu Baendum,Kotu Baendum,?,START_FAIL,0,227,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Kpo,Kpo,KpoState,OK,40,32,
